," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
1200013,0,0,0,0,0,0,0,0
1200100,0,0,0,0,0,0,0,0
1200101,0,0,0,0,0,0,0,0
1200102,0,0,0,0,0,0,0,0
1200103,0,0,0,0,0,0,0,0
1200110,0,0,0,0,0,0,0,0
1200111,0,0,0,0,0,0,0,0
1200112,0,0,0,0,0,0,0,0
1200113,0,0,0,0,0,0,0,0
1201000,0,0,0,0,0,0,0,0
1201001,0,0,0,0,0,0,0,0
1201002,0,0,0,0,0,0,0,0
1201003,0,0,0,0,0,0,0,0
1201010,0,0,0,0,0,0,0,0
1201011,0,0,0,0,0,0,0,0
1201012,0,0,0,0,0,0,0,0
1201013,0,0,0,0,0,0,0,0
1201100,0,0,0,0,0,0,0,0
1201101,0,0,0,0,0,0,0,0
1201102,0,0,0,0,0,0,0,0
1201103,0,0,0,0,0,0,0,0
1201110,0,0,0,0,0,0,0,0
1201111,0,0,0,0,0,0,0,0
1201112,0,0,0,0,0,0,0,0
1201113,0,0,0,0,0,0,0,0
1210000,0,0,0,0,0,0,0,0
1210001,0,0,0,0,0,0,0,0
1210002,0,0,0,0,0,0,0,0
1210003,0,0,0,0,0,0,0,0
1210010,0,0,0,0,0,0,0,0
1210011,0,0,0,0,0,0,0,0
1210012,0,0,0,0,0,0,0,0
1210013,0,0,0,0,0,0,0,0
1210100,0,0,0,0,0,0,0,0
1210101,0,0,0,0,0,0,0,0
1210102,0,0,0,0,0,0,0,0
1210103,0,0,0,0,0,0,0,0
1210110,0,0,0,0,0,0,0,0
1210111,0,0,0,0,0,0,0,0
1210112,0,0,0,0,0,0,0,0
1210113,0,0,0,0,0,0,0,0
1211000,0,0,0,0,0,0,0,0
1211001,0,0,0,0,0,0,0,0
1211002,0,0,0,0,0,0,0,0
1211003,0,0,0,0,0,0,0,0
1211010,0,0,0,0,0,0,0,0
1211011,0,0,0,0,0,0,0,0
1211012,0,0,0,0,0,0,0,0
1211013,0,0,0,0,0,0,0,0
1211100,0,0,0,0,0,0,0,0
1211101,0,0,0,0,0,0,0,0
1211102,0,0,0,0,0,0,0,0
1211103,0,0,0,0,0,0,0,0
1211110,0,0,0,0,0,0,0,0
1211111,0,0,0,0,0,0,0,0
1211112,0,0,0,0,0,0,0,0
1211113,0,0,0,0,0,0,0,0
1300000,0,0,0,0,0,0,0,0
1300001,0,0,0,0,0,0,0,0
1300002,0,0,0,0,0,0,0,0
1300003,0,0,0,0,0,0,0,0
1300010,0,0,0,0,0,0,0,0
1300011,0,0,0,0,0,0,0,0
1300012,0,0,0,0,0,0,0,0
1300013,0,0,0,0,0,0,0,0
1300100,0,0,0,0,0,0,0,0
1300101,0,0,0,0,0,0,0,0
1300102,0,0,0,0,0,0,0,0
1300103,0,0,0,0,0,0,0,0
1300110,0,0,0,0,0,0,0,0
1300111,0,0,0,0,0,0,0,0
1300112,0,0,0,0,0,0,0,0
1300113,0,0,0,0,0,0,0,0
1301000,0,0,0,0,0,0,0,0
1301001,0,0,0,0,0,0,0,0
1301002,0,0,0,0,0,0,0,0
1301003,0,0,0,0,0,0,0,0
1301010,1,0,0,0,0,0,0,0
1301011,0,0,0,0,0,0,0,0
1301012,0,0,0,0,0,0,0,0
1301013,0,0,0,0,0,0,0,0
1301100,0,0,0,0,0,0,0,0
1301101,0,0,0,0,0,0,0,0
1301102,0,0,0,0,0,0,0,0
1301103,0,0,0,0,0,0,0,0
1301110,0,0,0,0,0,0,0,0
1301111,0,0,0,0,0,0,0,0
1301112,0,0,0,0,0,0,0,0
1301113,0,0,0,0,0,0,0,0
1310000,0,0,0,0,0,0,0,0
1310001,0,0,0,0,0,0,0,0
1310002,0,0,0,0,0,0,0,0
1310003,0,0,0,0,0,0,0,0
1310010,0,0,0,0,0,0,0,0
1310011,0,0,0,0,0,0,0,0
1310012,0,0,0,0,0,0,0,0
1310013,0,0,0,0,0,0,0,0
1310100,0,0,0,0,0,0,0,0
1310101,0,0,0,0,0,0,0,0
1310102,0,0,0,0,0,0,0,0
1310103,0,0,0,0,0,0,0,0
1310110,0,0,0,0,0,0,0,0
1310111,0,0,0,0,0,0,0,0
1310112,0,0,0,0,0,0,0,0
1310113,0,0,0,0,0,0,0,0
1311000,0,0,0,0,0,0,0,0
1311001,0,0,0,0,0,0,0,0
1311002,0,0,0,0,0,0,0,0
1311003,0,0,0,0,0,0,0,0
1311010,0,0,0,0,0,0,0,0
1311011,0,0,0,0,0,0,0,0
1311012,0,0,0,0,0,0,0,0
1311013,0,0,0,0,0,0,0,0
1311100,0,0,0,0,0,0,0,0
1311101,0,0,0,0,0,0,0,0
1311102,0,0,0,0,0,0,0,0
1311103,0,0,0,0,0,0,0,0
1311110,0,0,0,0,0,0,0,0
1311111,0,0,0,0,0,0,0,0
1311112,0,0,0,0,0,0,0,0
1311113,0,0,0,0,0,0,0,0
2000000,0,0,0,0,0,0,0,0
2000001,0,0,0,0,0,0,0,0
2000002,0,0,0,0,0,0,0,0
2000003,0,0,0,0,0,0,0,0
2000010,0,0,0,0,0,0,0,0
